_id,workPid,dataPid
0.S0315.XIV,https://www.museabrugge.be/collection/work/id/0_S0315_XIV,https://www.museabrugge.be/collection/work/data/0_S0315_XIV
0.S0323.XI,https://www.museabrugge.be/collection/work/id/0_S0323_XI,https://www.museabrugge.be/collection/work/data/0_S0323_XI
0.S0329.VII,https://www.museabrugge.be/collection/work/id/0_S0329_VII,https://www.museabrugge.be/collection/work/data/0_S0329_VII
0.S0329a.VII,https://www.museabrugge.be/collection/work/id/0_S0329a_VII,https://www.museabrugge.be/collection/work/data/0_S0329a_VII
0.S0329b.VII,https://www.museabrugge.be/collection/work/id/0_S0329b_VII,https://www.museabrugge.be/collection/work/data/0_S0329b_VII
0.S0337.XIV,https://www.museabrugge.be/collection/work/id/0_S0337_XIV,https://www.museabrugge.be/collection/work/data/0_S0337_XIV
0.S0339.VII,0_S0339_VII,https://www.museabrugge.be/collection/work/id/0_S0339_VII,https://www.museabrugge.be/collection/work/data/https://www.museabrugge.be/collection/work/id/0_S0339_VII
0.S0339.VII,https://www.museabrugge.be/collection/work/id/0_S0339_VII,https://www.museabrugge.be/collection/work/data/0_S0339_VII
0.S0340.VII,https://www.museabrugge.be/collection/work/id/0_S0340_VII,https://www.museabrugge.be/collection/work/data/0_S0340_VII
0.S0343.VII,https://www.museabrugge.be/collection/work/id/0_S0343_VII,https://www.museabrugge.be/collection/work/data/0_S0343_VII
0.S0347.XXI,https://www.museabrugge.be/collection/work/id/0_S0347_XXI,https://www.museabrugge.be/collection/work/data/0_S0347_XXI
0.S0348.XXI,https://www.museabrugge.be/collection/work/id/0_S0348_XXI,https://www.museabrugge.be/collection/work/data/0_S0348_XXI
0.S0349.XXI,https://www.museabrugge.be/collection/work/id/0_S0349_XXI,https://www.museabrugge.be/collection/work/data/0_S0349_XXI
0.S2227.XI,https://www.museabrugge.be/collection/work/id/0_S2227_XI,https://www.museabrugge.be/collection/work/data/0_S2227_XI
0.S2228.XIV,https://www.museabrugge.be/collection/work/id/0_S2228_XIV,https://www.museabrugge.be/collection/work/data/0_S2228_XIV
